conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1972353851048243211,Sun Sep 28 17:32:57 +0000 2025,4,Drinks break mei sabko Daru pila do boundary aayega https://t.co/Wysdoa1vde,1972353851048243211,https://pbs.twimg.com/tweet_video_thumb/G181XX4XYAALYff.jpg,,in,,0,2,0,https://x.com/undefined/status/1972353851048243211,1849014076351127552,
1972352392806174724,Sun Sep 28 17:27:09 +0000 2025,2,Boundary nai aaya na kisi ucchi building pe chadh jayenge ab https://t.co/DyQkQFTn5p,1972352392806174724,https://pbs.twimg.com/tweet_video_thumb/G180CXUWgAAc410.jpg,,in,,0,0,0,https://x.com/undefined/status/1972352392806174724,1849014076351127552,
1972191823528710230,Sun Sep 28 17:08:46 +0000 2025,0,@xendless_s Atau karna banyak pikiran dan kena insomnia berat! Like bruh banget nggak sih! Jadi apa? Gue Insomnia berat dari SD dan punya hubungan love hate relationship dengan tidur sekarang dituduh using drugs!? ,1972347765851373852,,xendless_s,in,,0,0,0,https://x.com/undefined/status/1972347765851373852,1102663222291718144,
1972346400592838981,Sun Sep 28 17:03:20 +0000 2025,5,Gak setiap insomnia bisa diselesaikan dengan coli kan?,1972346400592838981,,,in,,0,3,0,https://x.com/undefined/status/1972346400592838981,1378570415614791681,
1972344897861550507,Sun Sep 28 16:59:44 +0000 2025,0,@kirikkurbaacagi Harika :),1972345492563734710,,kirikkurbaacagi,in,,0,0,0,https://x.com/undefined/status/1972345492563734710,1969190508896407552,
1972343292445798825,Sun Sep 28 16:50:59 +0000 2025,2,inget besok ada jam pagi tapi insomnia masalahnya,1972343292445798825,,,in,,0,0,0,https://x.com/undefined/status/1972343292445798825,1553638303198756865,
1972341355642007629,Sun Sep 28 16:43:18 +0000 2025,0,mulai insomnia lagi,1972341355642007629,,,in,,0,0,0,https://x.com/undefined/status/1972341355642007629,1301541261795442688,
1972191823528710230,Sun Sep 28 16:12:15 +0000 2025,421,@xendless_s BNN belajar lagii yaa saya mempelajari narkotika dan semua itu gabisa diukur semudah dan sebatas itu saja yaa. Seseorang aktif pada malam hari dan susah tidur itu bisa jadi gejala insomnia dan gangguan kepribadian kek kecemasan depresi dll. Kedua bisa jadi karena dia kerja-,1972333541842387416,,xendless_s,in,,1,20,36,https://x.com/undefined/status/1972333541842387416,725224237,
1972333535760683028,Sun Sep 28 16:12:13 +0000 2025,0,Insomnia akhirnya play ini https://t.co/NnRNTvRmQb,1972333535760683028,https://pbs.twimg.com/media/G18i5R2aAAA4at8.jpg,,in,,0,0,0,https://x.com/undefined/status/1972333535760683028,1036630387626131458,
1972191823528710230,Sun Sep 28 16:11:11 +0000 2025,11,@xendless_s Gatau yg namanya insomnia? Ga liat banyak yang kerja cari nafkah buat keluarga meskipun harus kerja malem? Kena shift ngojol jd sopir muatan barang? Goblog,1972333274681970907,,xendless_s,in,,0,1,1,https://x.com/undefined/status/1972333274681970907,1117378462287683584,
1972327499163140599,Sun Sep 28 15:48:14 +0000 2025,0,pengen aju nice lagihhh PCD never ending saga wlpn kena brain fog short term memory loss pas kongser sebong msh ngumpulin puzzle yg kelupaan gara² 1 mingguan kena insomnia parahh cuma tidur 2-3 jam doankk untungnya gak tumbang ,1972327499163140599,,,in,,0,0,0,https://x.com/undefined/status/1972327499163140599,595163548,
1972327175572570169,Sun Sep 28 15:46:57 +0000 2025,0,Semoga ramai malam ini #kemangraya https://t.co/ZzuMatbXMR,1972327175572570169,https://pbs.twimg.com/ext_tw_video_thumb/1972326910241001472/pu/img/b_8Frq4KX_HQw5Sn.jpg,,in,,0,0,0,https://x.com/undefined/status/1972327175572570169,1781223220047380480,
1972326831845151219,Sun Sep 28 15:45:35 +0000 2025,0,demi alek pls insomnia di album solo kedua u seng pls bgt inimah,1972326831845151219,,,in,,0,0,0,https://x.com/undefined/status/1972326831845151219,1928420695375282176,
1968541194238976453,Sun Sep 28 15:19:44 +0000 2025,0,@kyungmiaw @Jihvoon @twsyoungjaee akaoakaoak kocakkk.. insomnia dia,1972320328090354094,,kyungmiaw,in,,0,1,0,https://x.com/undefined/status/1972320328090354094,1823913347605225472,
1972116764571193539,Sun Sep 28 15:11:14 +0000 2025,0,@ilhampurnama887 Malam mencekam Semakin malam semakin mencekam Insomnia 7 hari 7 malam,1972318188680671715,,ilhampurnama887,in,,0,1,0,https://x.com/undefined/status/1972318188680671715,1764303093779636224,
1972314038588842185,Sun Sep 28 14:54:45 +0000 2025,1,Insomnia ho gaya hai,1972314038588842185,,,in,,0,1,0,https://x.com/undefined/status/1972314038588842185,1557391254559662082,
1972302571571446184,Sun Sep 28 14:42:13 +0000 2025,0,@insomnia_0201 @thisismaytryin IKIK,1972310885248172427,,insomnia_0201,tl,,0,1,0,https://x.com/undefined/status/1972310885248172427,4226103919,
1972302447994671285,Sun Sep 28 14:08:41 +0000 2025,0,Hari minggu seorang ojol https://t.co/HyTvuAXIBU,1972302447994671285,https://pbs.twimg.com/ext_tw_video_thumb/1972302181526384640/pu/img/QbFHPO5G9JjQrPGa.jpg,,in,,0,0,0,https://x.com/undefined/status/1972302447994671285,1781223220047380480,
1972259229886197999,Sun Sep 28 13:59:14 +0000 2025,0,@imajinasop Gemanin bacaan aku pertama kali kenal km dan pettama kali juga aku ngumpat tiap kali baca wkwkwkw .. jadi inget dlu waktu insomnia parah baca gemanin malah sakit kepala ,1972300067282530367,,imajinasop,in,,0,0,0,https://x.com/undefined/status/1972300067282530367,3142872151,
1972298162003120590,Sun Sep 28 13:51:40 +0000 2025,4,Na drustilo pk eppatikii secular eh,1972298162003120590,,,in,,0,0,0,https://x.com/undefined/status/1972298162003120590,1501112161635995656,
1971874276266721302,Sun Sep 28 13:51:23 +0000 2025,0,@bencijadiwni @FOOD_FESS gue aja udah insomnia ga bakal gue cobain,1972298093644394682,,bencijadiwni,in,,0,0,0,https://x.com/undefined/status/1972298093644394682,1121099011908194304,
1972295793437786152,Sun Sep 28 13:42:15 +0000 2025,0,Katamarayudu ,1972295793437786152,,,in,,0,3,0,https://x.com/undefined/status/1972295793437786152,1501112161635995656,
1972286322267341302,Sun Sep 28 13:19:59 +0000 2025,0,@ppiggggggyyy What is murukuu ,1972290189784695228,,ppiggggggyyy,et,,0,1,0,https://x.com/undefined/status/1972290189784695228,1501112161635995656,
1971091533198991554,Sun Sep 28 12:52:11 +0000 2025,0,@bchrulm Sisa yang kuning XL,1972283195967348987,,bchrulm,in,,0,0,0,https://x.com/undefined/status/1972283195967348987,52029529,
1972273950412738620,Sun Sep 28 12:15:27 +0000 2025,0,sekarang kerja bagian malem. tapi gw nya ngantuk. berangkat jangan ya.,1972273950412738620,,,in,,0,0,0,https://x.com/undefined/status/1972273950412738620,765859339416457218,
1972001387279212961,Sun Sep 28 12:04:35 +0000 2025,0,@sung_hanbeen padahal b side nya enak loh kaya doctor doctor insomnia take my hand and i ,1972271216129184080,,sung_hanbeen,in,,0,1,0,https://x.com/undefined/status/1972271216129184080,1814710728500371456,
1971091533198991554,Sun Sep 28 11:48:09 +0000 2025,0,@adit_insomnia size nya ?,1972267078305616378,,adit_insomnia,tl,,0,1,0,https://x.com/undefined/status/1972267078305616378,4023205993,
1972193828263342110,Sun Sep 28 11:47:16 +0000 2025,0,@adit_insomnia september s nya apa ? si emyu kalah lagi,1972266855952998671,,adit_insomnia,in,,0,0,0,https://x.com/undefined/status/1972266855952998671,4023205993,
1972266755801464928,Sun Sep 28 11:46:52 +0000 2025,0,pakan singa.,1972266755801464928,,,in,,0,0,0,https://x.com/undefined/status/1972266755801464928,765859339416457218,
1972231403900137815,Sun Sep 28 11:44:31 +0000 2025,0,@moviemnfs Stellan dari film Insomnia,1972266163993489787,,moviemnfs,in,,0,0,0,https://x.com/undefined/status/1972266163993489787,310684504,
1972266163460886873,Sun Sep 28 11:44:30 +0000 2025,2,7.9/10 insomnia after school nyaman aja nontonnya romance ringan yang jalan ceritanya lambat https://t.co/m5wHrNjL6K,1972266163460886873,https://pbs.twimg.com/media/G17ln7JawAAWiwr.jpg,,in,,0,2,0,https://x.com/undefined/status/1972266163460886873,1931532310849146881,
1972265548521382193,Sun Sep 28 11:42:04 +0000 2025,0,IH TAPI INSOMNIA JUGA BAGUSSS!!!!,1972265548521382193,,,in,,0,0,0,https://x.com/undefined/status/1972265548521382193,1566333148564455424,
1972260131124777415,Sun Sep 28 11:20:32 +0000 2025,0,kelebihan informasi ga bagus juga kadang jadi pedang bermata 2. ngerusak mental.,1972260131124777415,,,in,,0,0,0,https://x.com/undefined/status/1972260131124777415,765859339416457218,
1972259018703032774,Sun Sep 28 11:16:07 +0000 2025,0,[PAKET INSOMNIA] 3 Botol Fitmeup Varian Relax - Atasi Insomnia - Tidur Pulas - Bikin Badan Relax https://t.co/opjFWsqq78,1972259018703032774,,,in,,0,0,0,https://x.com/undefined/status/1972259018703032774,82666759,
1972257013116907963,Sun Sep 28 11:08:09 +0000 2025,0,serba serbi hidup di konoha. ada aja terobosannya. melarang tapi gak ngasih solusi. babi2 istana ini digaji cuma buat nyusahin. mana kegedean pula gajinya.,1972257013116907963,,,in,,0,0,0,https://x.com/undefined/status/1972257013116907963,765859339416457218,
1972244708593439122,Sun Sep 28 10:53:33 +0000 2025,0,@Ex_insomnia Kan ini dipake jadi lauk makan yg gak ada bergizi nya untuk bumil,1972253338306830466,,Ex_insomnia,in,,0,0,0,https://x.com/undefined/status/1972253338306830466,1174587440704524288,
1972253152184598534,Sun Sep 28 10:52:48 +0000 2025,0,5 Potret Keseruan Tyara Renata dan Surya Insomnia Liburan Renang hingga Motoran Bareng Anak https://t.co/xbATYbAewr,1972253152184598534,,,in,,0,0,0,https://x.com/undefined/status/1972253152184598534,864334585860980737,
1971936179991019622,Sun Sep 28 10:51:00 +0000 2025,0,@BlueHooligan___ anjir garede ambek bobotoh mah ,1972252695798108555,,BlueHooligan___,in,,0,0,0,https://x.com/undefined/status/1972252695798108555,765859339416457218,
